Restaurant,City,State,Item,Price,Image
Sweet Leaf - DC,Washington,DC,Koo Koo Roo,$12.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/7/item-100000004795299337_1657054956.jpg?size=medium
Sweet Leaf - DC,Washington,DC,San Remo,$12.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/1/item-100000004795315531_1657054816.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Chicken Club,$12.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/8/item-100000005135574558_1657054518.jpg?size=medium
Sweet Leaf - DC,Washington,DC,CheeseSteak,$14.29,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/5/item-100000006994119065_1657128041.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Steak + Cheddar,$14.29,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/7/item-100000004447840607_1657128161.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Veggie Stack,$11.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/2/item-100000004623211212_1657054847.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Street Corn,$3.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/7/item-100000036765433657_1702963854.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Avo Mix,$3.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/1/item-100000036764737521_1702959531.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Mozzarella + Tomato,$3.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/7/item-100000036765016117_1702960021.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Seasonal Veggies,$3.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/9/item-100000036765167109_1702961106.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Roasted Honey Carrots,$3.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/6/item-100000036765414376_1704336126.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Rosemary Sweet Potatoes,$3.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/9/item-100000036765331659_1702963526.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Fruit Cup,$3.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9077000000000000/menu/items/1/item-100000005695126601_1703255206.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Tzatziki + Pita,$3.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9077000000000000/menu/items/0/item-100000036765441370_1703256612.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Vegetable Lentil,$5.69,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9091000000000000/menu/items/3/item-100000006151504633_1703087356.png?size=medium
Sweet Leaf - DC,Washington,DC,Chili Bean,$5.69,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9077000000000000/menu/items/8/item-100000030348605328_1686067830.png?size=medium
Sweet Leaf - DC,Washington,DC,Avo BLT,$6.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/6/item-100000005695126426_1657056494.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Grilled Cheese,$6.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/3/item-100000005695126603_1657056540.jpg?size=medium
Sweet Leaf - DC,Washington,DC,PB & J,$6.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/5/item-100000005695126675_1657056570.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Quesadilla,$6.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/7/item-100000005695126677_1657056598.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Milkshakes,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/8/item-100000005695126178_1657057024.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Ice Cream,$5.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/5/item-100000005695126055_1657056983.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Froyo,$6.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/0/item-100000005695126170_1665497660.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Brownie,$1.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/7/item-100000000079709287_1657131037.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Cookies,$1.11,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/4/item-100000000046163494_1657057129.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Salt & Vinegar,$2.04,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/8/item-100000000125895378_1579921626.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Sea Salt,$2.04,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/0/item-100000000125895380_1579921531.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Jalapeno,$2.04,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/4/item-100000000125895384_1579921263.jpg?size=medium
Sweet Leaf - DC,Washington,DC,BBQ,$2.04,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/2/item-100000000125895382_1579921692.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Halfsies,$2.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9091000000000000/menu/items/3/item-100000036770623603_1703035401.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Fresh Lemonade,$2.89,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9091000000000000/menu/items/5/item-100000001856164025_1703035283.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Unsweet Iced Tea,$2.05,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9091000000000000/menu/items/0/item-100000006603834890_1703035311.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Green Iced Tea,$2.05,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9091000000000000/menu/items/6/item-100000000170023896_1703035385.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Fresh Orange Juice,$3.15,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9091000000000000/menu/items/3/item-100000001856162723_1703035423.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Water,$2.40,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9091000000000000/menu/items/6/item-100000000170023886_1703034005.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Sparkling Water,$2.47,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/8/item-100000000170023888_1642713516.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Limonata Pellegrino,$2.15,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/8/item-100000006227313748_1643243479.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Pomegrante Pellegrino,$2.15,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/6/item-100000006227313746_1643243549.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Coke,$2.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9084000000000000/menu/items/2/item-100000000170023882_1703018726.png?size=medium
Sweet Leaf - DC,Washington,DC,Diet Coke,$2.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9084000000000000/menu/items/0/item-100000000078413560_1703018705.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Sprite,$2.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9084000000000000/menu/items/4/item-100000000170023884_1703018757.png?size=medium
Seasons at Sidley Austin,Washington,DC,Coconut Mango,$4.25,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/0/item-300000020166154350_1670423100.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,MYO Salad,$6.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/5/item-300000014579358245_1642131483.png?size=medium
Seasons at Sidley Austin,Washington,DC,Half Sandwich/Half Sandwich Combo,$2.75,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/3/item-300000021353462973_1675265030.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Corn Tortilla-Pepitas Crusted Salmon,$9.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/9/item-300000030457161299_1704743882.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Tacos de Birria (df, gf),$8.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/0/item-300000032783721150_1711997242.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Grill Special,$7.95,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/7/item-300000017938271237_1660676017.png?size=medium
Seasons at Sidley Austin,Washington,DC,Artisan Three Cheese Melt (v),$4.95,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/5/item-300000020097967035_1670201472.png?size=medium
Seasons at Sidley Austin,Washington,DC,Grilled Chicken Sandwich,$6.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/0/item-300000013727408570_1641841468.png?size=medium
Seasons at Sidley Austin,Washington,DC,Burgers,$4.95,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/0/item-300000014598213560_1642127734.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,House Chicken Strips,$5.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/3/item-300000013666584653_1642028192.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Steak or Chicken Cheesesteak,$6.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/1/item-300000011862916711_1637006010.png?size=medium
Seasons at Sidley Austin,Washington,DC,Classic Grilled Cheese (V),$4.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/0/item-300000020096890800_1670105864.png?size=medium
Seasons at Sidley Austin,Washington,DC,Salad Fusion (gf),$8.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/1/item-300000020724910411_1672777566.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,MYO Salad,$6.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/5/item-300000014579358245_1642131483.png?size=medium
Seasons at Sidley Austin,Washington,DC,Deli Special (v),$6.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/4/item-300000030457212954_1704744139.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Chicken Caesar Wrap,$6.75,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/9/item-300000022505958339_1679243508.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Shrimp Avocado Wrap,$6.95,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/7/item-300000025733034827_1689594851.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Goat Cheese Flatbread (v),$6.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/1/item-300000030450686811_1704718515.png?size=medium
Seasons at Sidley Austin,Washington,DC,BLT Sandwich,$6.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/3/item-300000020297942083_1670936193.png?size=medium
Seasons at Sidley Austin,Washington,DC,Half Sandwich/Half Sandwich Combo,$2.75,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/3/item-300000021353462973_1675265030.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,MYO Sandwich,$5.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/1/item-300000014578770071_1642172482.png?size=medium
Seasons at Sidley Austin,Washington,DC,Soup Du Jour,$3.25,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/3/item-300000013649492693_1711996559.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Chef's Daily Creation,$3.25,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/5/item-300000013649661235_1711996729.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Sides,$1.95,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/4/item-300000014567776864_1641865826.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Can Soda,$0.95,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/5/item-300000013648217815_1635527312.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Bai,$2.25,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/7/item-300000022953688837_1680793428.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Bottle Soda,$1.75,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/2/item-300000020131132672_1670204739.png?size=medium
Seasons at Sidley Austin,Washington,DC,Water,$1.00,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/8/item-300000020132241948_1670208786.png?size=medium
Seasons at Sidley Austin,Washington,DC,Vitamin Waters,$2.25,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/7/item-300000011862919877_1625839877.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Flavored Sparkling Water,$1.25,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/1/item-300000013648568281_1635528256.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Kombucha,$1.95,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/4/item-300000025805403074_1689866707.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Iced Tea,$2.25,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/7/item-300000013648988917_1690463477.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Snapple,$2.00,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/5/item-300000020132217215_1680793360.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Stewart's Sodas,$1.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/4/item-300000022953862214_1680796187.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Tropicana Premium Juice,$2.25,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/2/item-300000013649283982_1670205529.png?size=medium
Seasons at Sidley Austin,Washington,DC,Nantucket Juices,$1.95,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/4/item-300000017737893844_1680792654.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Fresh Squeezed Juice,$2.45,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/3/item-300000020131837953_1677762093.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,San Pellegrino Can,$1.65,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/1/item-300000011862919851_1625839522.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Milk,$1.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/8/item-300000012410823068_1628528510.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Monthly Barista Feature,$3.75,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/0/item-300000023619388290_1711931744.png?size=medium
Seasons at Sidley Austin,Washington,DC,Caramel Macchiato,$3.15,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/9/item-300000020083276979_1670211462.png?size=medium
Seasons at Sidley Austin,Washington,DC,Caffè Latte,$2.55,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/9/item-300000011862920109_1625843922.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Cappuccino,$2.55,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/1/item-300000011862920121_1625843960.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Americano,$1.65,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/7/item-300000011862920107_1625843900.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Espresso,$1.65,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/7/item-300000011862920127_1625844206.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Chai Tea Latte,$2.55,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/9/item-300000013170738739_1632501960.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Cold Brew,$1.45,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/3/item-300000011862920123_1625844093.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Iced coffee,$1.45,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/1/item-300000020083188521_1670210951.png?size=medium
Seasons at Sidley Austin,Washington,DC,Matcha Hot Tea,$1.75,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/9/item-300000011862920139_1625844362.jpg?size=medium
Seasons at Sidley Austin,Washington,DC,Monthly Smoothie Feature,$4.65,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-78904000000000000/menu/items/9/item-300000020133156549_1710444589.jpg?size=medium
